image,category,freshness
Train\freshapples\a_f001.png,freshapples,87.17
Train\freshapples\a_f002.png,freshapples,87.17
Train\freshapples\a_f003.png,freshapples,87.17
Train\freshapples\a_f004.png,freshapples,87.17
Train\freshapples\a_f005.png,freshapples,87.17
Train\freshapples\a_f006.png,freshapples,87.17
Train\freshapples\a_f007.png,freshapples,87.17
Train\freshapples\a_f008.png,freshapples,87.17
Train\freshapples\a_f009.png,freshapples,87.17
Train\freshapples\a_f010.png,freshapples,87.17
Train\freshapples\a_f011.png,freshapples,87.17
Train\freshapples\a_f012.png,freshapples,87.17
Train\freshapples\a_f013.png,freshapples,87.17
Train\freshapples\a_f014.png,freshapples,87.17
Train\freshapples\a_f015.png,freshapples,87.17
Train\freshapples\a_f016.png,freshapples,87.17
Train\freshapples\a_f017.png,freshapples,87.17
Train\freshapples\a_f018.png,freshapples,87.17
Train\freshapples\a_f019.png,freshapples,87.17
Train\freshapples\a_f020.png,freshapples,87.17
Train\freshapples\a_f021.png,freshapples,87.17
Train\freshapples\a_f022.png,freshapples,87.17
Train\freshapples\a_f023.png,freshapples,87.17
Train\freshapples\a_f024.png,freshapples,87.17
Train\freshapples\a_f025.png,freshapples,87.17
Train\freshapples\a_f026.png,freshapples,87.17
Train\freshapples\a_f027.png,freshapples,87.17
Train\freshapples\a_f028.png,freshapples,87.17
Train\freshapples\a_f029.png,freshapples,87.17
Train\freshapples\a_f030.png,freshapples,87.17
Train\freshapples\a_f031.png,freshapples,87.17
Train\freshapples\a_f032.png,freshapples,87.17
Train\freshapples\a_f033.png,freshapples,87.17
Train\freshapples\a_f034.png,freshapples,87.17
Train\freshapples\a_f035.png,freshapples,87.17
Train\freshapples\a_f036.png,freshapples,87.17
Train\freshapples\a_f037.png,freshapples,87.17
Train\freshapples\a_f038.png,freshapples,87.17
Train\freshapples\a_f039.png,freshapples,87.17
Train\freshapples\a_f040.png,freshapples,87.17
Train\freshapples\a_f041.png,freshapples,87.17
Train\freshapples\a_f042.png,freshapples,87.17
Train\freshapples\a_f043.png,freshapples,87.17
Train\freshapples\a_f044.png,freshapples,87.17
Train\freshapples\a_f045.png,freshapples,87.17
Train\freshapples\a_f046.png,freshapples,87.17
Train\freshapples\a_f047.png,freshapples,87.17
Train\freshapples\a_f048.png,freshapples,87.17
Train\freshapples\a_f049.png,freshapples,87.17
